,RYAN
Price/Earnings (TTM),106.8634
Price/Sales (TTM),6.1186
Price/Book (MRQ),23.06111
Price/Cash Flow (TTM),39.79899
5yr Low,25.57
5yr High,46.4
5yr Avg Return,0.26849999999999996
Short Int Current Month,6716193.0
Short Int Prev Month,6938647.0
Short Int Pct of Float,0.08010389999999999
Days to Cover,4.83908
Float,96.58431
Shares Outstanding,259.6031
Institutions Holding Shares,249.0
% Held by Institutions,0.7240479999999999
FCF Growth 5yr,-1.2136540399269478
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
