,TSP
Price/Earnings (TTM),
Price/Sales (TTM),52.12429
Price/Book (MRQ),0.46756
Price/Cash Flow (TTM),
5yr Low,2.11
5yr High,79.84
5yr Avg Return,-0.5243000000000001
Short Int Current Month,8488683.0
Short Int Prev Month,11153658.0
Short Int Pct of Float,0.06870949999999999
Days to Cover,0.99654
Float,122.9342
Shares Outstanding,224.4867
Institutions Holding Shares,215.0
% Held by Institutions,0.406638
FCF Growth 5yr,0.2064928535516771
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
