,TSP
% Above Low,0.047400000000000005
% Held by Institutions,0.40659999999999996
52-Wk Range,['2.11 - 42.64']
Annual Dividend $,
Annual Dividend %,
Ask,2.29
Ask Size,1000.0
B/A Ratio,9.3
B/A Size,9300x1000
Beta,
Bid,2.21
Bid Size,9300.0
Closing Price,2.21
Day Change $,-0.01
Day Change %,-0.0045000000000000005
Day High,2.36
Day Low,2.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,1.143
Last (size),666.0
Last (time),3:59p ET 11/28/22
Market Cap,498.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.22
Shares Outstanding,225.1M
Short Interest,0.0687
Today's Open,2.23
Volume,2201316.0
Volume 10-day Avg,4101875.0
Volume Past Day,(Light)
