,AWR
% Below High,0.0414
% Held by Institutions,0.7689
52-Wk Range,['71.22 - 103.77']
Annual Dividend $,1.59
Annual Dividend %,0.016
Ask,105.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,97.0
Bid Size,100.0
Closing Price,99.47
Day Change $,0.48
Day Change %,0.0048
Day High,100.51
Day Low,99.19
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.284
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.1
Prev Close,98.99
Shares Outstanding,37.0M
Short Interest,0.0241
Today's Open,99.23
Volume,84670.0
Volume 10-day Avg,174046.0
Volume Past Day,(Light)
