,RSI
Price/Earnings (TTM),
Price/Sales (TTM),1.3731
Price/Book (MRQ),12.15829
Price/Cash Flow (TTM),
5yr Low,3.34
5yr High,26.55
5yr Avg Return,0.07636666666666665
Short Int Current Month,3160849.0
Short Int Prev Month,4580453.0
Short Int Pct of Float,0.057180299999999996
Days to Cover,3.21866
Float,58.06709
Shares Outstanding,220.5043
Institutions Holding Shares,152.0
% Held by Institutions,0.561161
FCF Growth 5yr,0.03792876857173085
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
