,RSI
% Above Low,0.003
% Held by Institutions,0.5611999999999999
52-Wk Range,['3.31 - 18.90']
Annual Dividend $,
Annual Dividend %,
Ask,3.32
Ask Size,1500.0
B/A Ratio,1.0
B/A Size,1500x1500
Beta,
Bid,3.32
Bid Size,1500.0
Day Change $,-0.15
Day Change %,-0.0432
Day High,3.5
Day Low,3.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.65
Ex-dividend Date,No dividend
Historical Volatility,0.778
Last (size),100.0
Last (time),1:20p ET 11/28/22
Market Cap,213.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.47
Price,3.32
Shares Outstanding,64.1M
Short Interest,0.0572
Today's Open,3.47
Volume Past Day,(Light)
