,DHI
% Above Low,0.41590000000000005
% Held by Institutions,0.852
52-Wk Range,['59.25 - 110.45']
Annual Dividend $,1.0
Annual Dividend %,0.011899999999999999
Ask,84.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,78.83
Bid Size,100.0
Closing Price,83.89
Day Change $,-0.61
Day Change %,-0.0072
Day High,84.18
Day Low,83.47
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",16.53
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.443
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,28.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.07
Prev Close,84.5
Shares Outstanding,344.3M
Short Interest,0.0482
Today's Open,83.55
Volume,953145.0
Volume 10-day Avg,2516081.0
Volume Past Day,(Light)
