,DHI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.6076585059635907
Growth 1yr High Est,-0.22042700519330638
Growth 1yr Consensus Est,-0.41404275557844855
Growth 2yr Low Est,-0.40382925298179534
Growth 2yr High Est,-0.03767464249302621
Growth 2yr Consensus Est,-0.22075194773741078
Growth 5yr Low Est,-0.10396128602542225
Growth 5yr High Est,0.15050765390332757
Growth 5yr Consensus Est,0.02327318393895267
Growth 5yr Actual/Est,0.20897332723541928
Growth 3yr Historic,0.3067518844487347
