,DHI
Price/Earnings (TTM),5.07368
Price/Sales (TTM),0.86281
Price/Book (MRQ),1.48761
Price/Cash Flow (TTM),4.83299
5yr Low,25.51
5yr High,110.45
5yr Avg Return,0.14926666666666663
EPS Growth 5yr,0.43211489999999997
Revenue Growth 5yr,0.1889641
Dividend Growth 5yr,0.176079
Short Int Current Month,14574134.0
Short Int Prev Month,13719688.0
Short Int Pct of Float,0.0482087
Days to Cover,3.86861
Float,302.3426
Shares Outstanding,344.3412
Institutions Holding Shares,1142.0
% Held by Institutions,0.852005
FCF Growth 5yr,0.5170885030048855
