,IMAX
Price/Earnings (TTM),
Price/Sales (TTM),2.89997
Price/Book (MRQ),3.30305
Price/Cash Flow (TTM),18.96907
5yr Low,6.01
5yr High,26.55
5yr Avg Return,-0.07288333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0754658
Dividend Growth 5yr,
Short Int Current Month,3572374.0
Short Int Prev Month,4199222.0
Short Int Pct of Float,0.077584
Days to Cover,4.06738
Float,46.09519
Shares Outstanding,55.97344
Institutions Holding Shares,198.0
% Held by Institutions,0.7732680000000001
FCF Growth 5yr,0.9654807242095473
