,IMAX
% Above Low,0.3298
% Held by Institutions,0.7733
52-Wk Range,['12.13 - 21.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.19
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.2
Bid,15.38
Bid Size,800.0
Closing Price,16.13
Day Change $,0.35
Day Change %,0.0222
Day High,16.16
Day Low,15.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.489
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,901.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,15.78
Shares Outstanding,56.0M
Short Interest,0.0776
Today's Open,15.74
Volume,305852.0
Volume 10-day Avg,721635.0
Volume Past Day,(Light)
