,IMAX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.005050505050505
Growth 1yr High Est,-1.1477272727272727
Growth 1yr Consensus Est,-1.0763888888888888
Growth 2yr Low Est,21.997474747474747
Growth 2yr High Est,0.8876748251748251
Growth 2yr Consensus Est,11.442574786324787
Growth 5yr Low Est,10.222141629056523
Growth 5yr High Est,-0.2212569270352288
Growth 5yr Consensus Est,5.000442351010647
Growth 5yr Actual/Est,-0.10410052910052903
Growth 3yr Historic,-0.9314814814814815
