,TPH
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2755102040816326
Growth 1yr High Est,0.2548076923076923
Growth 1yr Consensus Est,0.26515894819466246
Growth 2yr Low Est,-0.16224489795918368
Growth 2yr High Est,-0.04692565576186264
Growth 2yr Consensus Est,-0.10458527686052316
Growth 5yr Low Est,-0.16224489795918368
Growth 5yr High Est,-0.04692565576186264
Growth 5yr Consensus Est,-0.10458527686052316
Growth 5yr Actual/Est,0.2894913286714019
Growth 3yr Historic,0.34370199692780345
