,TPH
% Above Low,0.22690000000000002
% Held by Institutions,1.0117
52-Wk Range,['14.59 - 28.29']
Annual Dividend $,
Annual Dividend %,
Ask,22.62
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,1.4
Bid,8.01
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,17.9
Day Change $,-0.35
Day Change %,-0.0192
Day High,18.2
Day Low,17.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.01
Ex-dividend Date,No dividend
Historical Volatility,0.456
Last (size),657.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.64
Prev Close,18.25
Shares Outstanding,100.9M
Short Interest,0.0414
Today's Open,18.08
Volume,500731.0
Volume 10-day Avg,659899.0
Volume Past Day,(Light)
