,TPH
Price/Earnings (TTM),3.6419
Price/Sales (TTM),0.45634
Price/Book (MRQ),0.7014
Price/Cash Flow (TTM),3.3399
5yr Low,5.89
5yr High,28.29
5yr Avg Return,0.061350000000000016
EPS Growth 5yr,0.2780146
Revenue Growth 5yr,0.10610720000000001
Dividend Growth 5yr,
Short Int Current Month,4105653.0
Short Int Prev Month,4443862.0
Short Int Pct of Float,0.041437299999999996
Days to Cover,3.87052
Float,99.08121
Shares Outstanding,100.914
Institutions Holding Shares,353.0
% Held by Institutions,1.011653
FCF Growth 5yr,-0.22888676767322372
