,GMED
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.014999999999999902
Growth 1yr High Est,-0.01449275362318836
Growth 1yr Consensus Est,0.0002536231884057716
Growth 2yr Low Est,0.05676108374384237
Growth 2yr High Est,0.30647911338448425
Growth 2yr Consensus Est,0.1816200985641633
Growth 5yr Low Est,0.07423853003760167
Growth 5yr High Est,0.20237250466912074
Growth 5yr Consensus Est,0.13830551735336122
Growth 5yr Actual/Est,0.1140249203129528
Growth 3yr Historic,0.06845238095238096
