,GMED
% Below High,0.1252
% Held by Institutions,0.9721
52-Wk Range,['52.60 - 81.78']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,48.0
Bid Size,100.0
Closing Price,71.54
Day Change $,0.4
Day Change %,0.005600000000000001
Day High,72.15
Day Low,71.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.52
Ex-dividend Date,No dividend
Historical Volatility,0.378
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.14
Prev Close,71.14
Shares Outstanding,99.8M
Short Interest,0.0756
Today's Open,71.21
Volume,194348.0
Volume 10-day Avg,656224.0
Volume Past Day,(Light)
