,GMED
Price/Earnings (TTM),47.14457
Price/Sales (TTM),7.15443
Price/Book (MRQ),4.04847
Price/Cash Flow (TTM),31.97515
5yr Low,33.41
5yr High,84.23
5yr Avg Return,0.11871666666666664
EPS Growth 5yr,0.0587913
Revenue Growth 5yr,0.111802
Dividend Growth 5yr,
Short Int Current Month,5785981.0
Short Int Prev Month,5378797.0
Short Int Pct of Float,0.0755516
Days to Cover,6.01976
Float,76.59413
Shares Outstanding,99.84256
Institutions Holding Shares,481.0
% Held by Institutions,0.972131
FCF Growth 5yr,0.06567361924891553
