,CORT
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.13749999999999996
Growth 1yr High Est,0.05434782608695654
Growth 1yr Consensus Est,0.09592391304347825
Growth 2yr Low Est,0.008310439560439531
Growth 2yr High Est,0.13026669654863288
Growth 2yr Consensus Est,0.0692885680545362
Growth 5yr Low Est,0.017313114517061856
Growth 5yr High Est,0.08281460682424807
Growth 5yr Consensus Est,0.050063860670654964
Growth 5yr Actual/Est,0.05976239908085895
Growth 3yr Historic,0.03773873185637894
