,CORT
Price/Earnings (TTM),26.24487
Price/Sales (TTM),7.06613
Price/Book (MRQ),5.93338
Price/Cash Flow (TTM),23.85962
5yr Low,9.14
5yr High,31.18
5yr Avg Return,0.14968333333333333
EPS Growth 5yr,0.6636405999999999
Revenue Growth 5yr,0.35098480000000004
Dividend Growth 5yr,
Short Int Current Month,16335789.0
Short Int Prev Month,17050981.0
Short Int Pct of Float,0.1707433
Days to Cover,20.03934
Float,95.67155
Shares Outstanding,107.6498
Institutions Holding Shares,311.0
% Held by Institutions,0.805546
FCF Growth 5yr,0.11571065456757083
