,CORT
% Below High,0.134
% Held by Institutions,0.8055
52-Wk Range,['15.83 - 30.14']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,100.0
B/A Ratio,55.0
B/A Size,5500x100
Beta,0.5
Bid,23.5
Bid Size,5500.0
Closing Price,26.1
Day Change $,0.11
Day Change %,0.0042
Day High,26.29
Day Low,26.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.99
Ex-dividend Date,No dividend
Historical Volatility,0.512
Last (size),41.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.24
Prev Close,25.99
Shares Outstanding,107.6M
Short Interest,0.1707
Today's Open,26.02
Volume,86883.0
Volume 10-day Avg,413237.0
Volume Past Day,(Light)
