,DHR
% Above Low,0.1426
% Held by Institutions,0.7856000000000001
52-Wk Range,['233.71 - 331.69']
Annual Dividend $,1.0
Annual Dividend %,0.0037
Ask,285.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.8
Bid,266.47
Bid Size,400.0
Closing Price,267.04
Day Change $,3.69
Day Change %,0.013999999999999999
Day High,267.45
Day Low,264.42
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",9.06
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.336
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,194.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.48
Prev Close,263.35
Shares Outstanding,728.0M
Short Interest,0.005600000000000001
Today's Open,264.96
Volume,868330.0
Volume 10-day Avg,2244888.0
Volume Past Day,(Light)
