,DHR
Price/Earnings (TTM),29.47823
Price/Sales (TTM),6.22065
Price/Book (MRQ),4.2893
Price/Cash Flow (TTM),21.88149
5yr Low,91.84
5yr High,333.96
5yr Avg Return,0.2205666666666667
EPS Growth 5yr,0.2250563
Revenue Growth 5yr,0.1177356
Dividend Growth 5yr,0.06908299999999999
Short Int Current Month,3608445.0
Short Int Prev Month,3909001.0
Short Int Pct of Float,0.0055685
Days to Cover,1.15829
Float,648.1719
Shares Outstanding,727.9627
Institutions Holding Shares,2712.0
% Held by Institutions,0.785633
FCF Growth 5yr,0.24716165381018038
