,SHYF
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4381443298969072
Growth 1yr High Est,-0.3921568627450981
Growth 1yr Consensus Est,-0.41515059632100265
Growth 2yr Low Est,0.14331315615246376
Growth 2yr High Est,0.17892156862745096
Growth 2yr Consensus Est,0.16111736238995736
Growth 5yr Low Est,0.25964466820420656
Growth 5yr High Est,0.28965141612200435
Growth 5yr Consensus Est,0.27464804216310545
Growth 5yr Actual/Est,0.23339866740040224
Growth 3yr Historic,0.158220991815118
