,SHYF
% Above Low,0.3719
% Held by Institutions,0.8495999999999999
52-Wk Range,['17.66 - 51.34']
Annual Dividend $,0.2
Annual Dividend %,0.008
Ask,24.27
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,24.23
Bid Size,100.0
Day Change $,-0.68
Day Change %,-0.0273
Day High,24.86
Day Low,24.17
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.09
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.498
Last (size),260.0
Last (time),2:14p ET 11/28/22
Market Cap,849.8M
"P/E Ratio (TTM, GAAP)",22.86
Prev Close,24.91
Price,24.23
Shares Outstanding,35.1M
Short Interest,0.0264
Today's Open,24.72
Volume Past Day,(Light)
