,SHYF
Price/Earnings (TTM),22.85929
Price/Sales (TTM),0.87148
Price/Book (MRQ),3.49792
Price/Cash Flow (TTM),16.7014
5yr Low,6.7
5yr High,54.5
5yr Avg Return,0.2948833333333333
EPS Growth 5yr,0.5006442
Revenue Growth 5yr,0.1091733
Dividend Growth 5yr,0.0
Short Int Current Month,847109.0
Short Int Prev Month,799712.0
Short Int Pct of Float,0.0264088
Days to Cover,3.86732
Float,32.11324
Shares Outstanding,35.07092
Institutions Holding Shares,245.0
% Held by Institutions,0.849611
FCF Growth 5yr,-0.3309939045472736
