,WMS
% Above Low,0.1547
% Held by Institutions,0.8423
52-Wk Range,['80.76 - 153.36']
Annual Dividend $,0.48
Annual Dividend %,0.005
Ask,118.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,80.0
Bid Size,200.0
Closing Price,93.25
Day Change $,-3.17
Day Change %,-0.0329
Day High,95.47
Day Low,92.64
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.43
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.559
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,7.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.77
Prev Close,96.42
Shares Outstanding,82.9M
Short Interest,0.0512
Today's Open,94.82
Volume,923308.0
Volume 10-day Avg,991124.0
Volume Past Day,(Average)
