,CHK
% Below High,0.0407
% Held by Institutions,0.9609000000000001
52-Wk Range,['56.75 - 107.31']
Annual Dividend $,10.03
Annual Dividend %,0.0974
Ask,104.8
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,
Bid,101.5
Bid Size,100.0
Closing Price,102.94
Day Change $,-0.52
Day Change %,-0.005
Day High,104.93
Day Low,102.25
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",16.44
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.469
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,13.8B
"P/E Ratio (TTM, GAAP)",6.26
Prev Close,103.46
Shares Outstanding,134.0M
Short Interest,0.06860000000000001
Today's Open,104.0
Volume,704213.0
Volume 10-day Avg,1414938.0
Volume Past Day,(Light)
