,TITN
% Below High,0.0252
% Held by Institutions,0.8243
52-Wk Range,['21.50 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,35.49
Ask Size,2300.0
Ask close,43.31
B/A Ratio,0.21739130434782608
B/A Size,500x2300
Beta,1.6
Bid,35.45
Bid Size,500.0
Bid close,27.23
Change Since Close,0.00| |(0.00%)
Closing Price,35.45
Day Change $,0.79
Day Change %,0.022799999999999997
Day High,35.72
Day Low,34.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.84
Ex-dividend Date,No dividend
Historical Volatility,0.47000000000000003
Last (size),26500.0
Last (time),4:00p ET 11/28/22
Last Trade,35.45
Market Cap,800.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.03
Prev Close,34.66
Shares Outstanding,22.6M
Short Interest,0.0209
Today's Open,34.24
Volume,265542.0
Volume 10-day Avg,118065.0
Volume Past Day,(Heavy Day)
