,ACM
% Below High,0.0086
% Held by Institutions,0.8632
52-Wk Range,['60.74 - 84.83']
Annual Dividend $,0.72
Annual Dividend %,0.0086
Ask,87.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,75.0
Bid Size,100.0
Closing Price,84.1
Day Change $,0.21
Day Change %,0.0025
Day High,84.54
Day Low,83.73
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.302
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,11.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.85
Prev Close,83.89
Shares Outstanding,138.7M
Short Interest,0.014199999999999999
Today's Open,83.98
Volume,235794.0
Volume 10-day Avg,824536.0
Volume Past Day,(Light)
