,SAH
Price/Earnings (TTM),5.55368
Price/Sales (TTM),0.13395
Price/Book (MRQ),1.6787
Price/Cash Flow (TTM),3.73692
5yr Low,9.0
5yr High,59.19
5yr Avg Return,0.2408
EPS Growth 5yr,0.31412
Revenue Growth 5yr,0.0495924
Dividend Growth 5yr,0.1812602
Short Int Current Month,4740014.0
Short Int Prev Month,4831688.0
Short Int Pct of Float,0.28613520000000003
Days to Cover,15.53762
Float,16.52075
Shares Outstanding,36.5778
Institutions Holding Shares,274.0
% Held by Institutions,0.839642
FCF Growth 5yr,8.160586194241484
