,SAH
% Below High,0.1398
% Held by Institutions,0.8395999999999999
52-Wk Range,['34.17 - 59.19']
Annual Dividend $,1.12
Annual Dividend %,0.022000000000000002
Ask,51.03
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.9
Bid,50.89
Bid Size,300.0
Day Change $,0.11
Day Change %,0.0022
Day High,51.34
Day Low,50.36
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",9.15
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.5
Last (size),20.0
Last (time),1:26p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.55
Prev Close,50.8
Price,50.91
Shares Outstanding,36.6M
Short Interest,0.2861
Today's Open,50.36
Volume Past Day,(Light)
