,SAH
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,1.4664804469273744
Growth 1yr High Est,1.5272727272727273
Growth 1yr Consensus Est,1.496876587100051
Growth 2yr Low Est,0.6296162144036646
Growth 2yr High Est,0.7081379052602075
Growth 2yr Consensus Est,0.668877059831936
Growth 5yr Low Est,0.4286292454132144
Growth 5yr High Est,0.4714353648438442
Growth 5yr Consensus Est,0.45003230512852926
Growth 5yr Actual/Est,0.40631675483849616
Growth 3yr Historic,0.4139339826839827
