,TXT
Price/Earnings (TTM),18.46938
Price/Sales (TTM),1.18861
Price/Book (MRQ),2.21001
Price/Cash Flow (TTM),12.07361
5yr Low,20.26
5yr High,79.45
5yr Avg Return,0.06795
EPS Growth 5yr,0.012762299999999999
Revenue Growth 5yr,-0.0212813
Dividend Growth 5yr,0.0
Short Int Current Month,3455580.0
Short Int Prev Month,3156234.0
Short Int Pct of Float,0.016642300000000002
Days to Cover,2.89872
Float,207.6559
Shares Outstanding,208.7715
Institutions Holding Shares,688.0
% Held by Institutions,0.85068
FCF Growth 5yr,0.4281276865065687
