,TXT
% Below High,0.1235
% Held by Institutions,0.8506999999999999
52-Wk Range,['57.11 - 79.45']
Annual Dividend $,0.08
Annual Dividend %,0.0011
Ask,72.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.5
Bid,69.2
Bid Size,400.0
Closing Price,69.64
Day Change $,-1.84
Day Change %,-0.025699999999999997
Day High,70.85
Day Low,69.36
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.33799999999999997
Last (size),9.0
Last (time),7:00p ET 11/28/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.47
Prev Close,71.48
Shares Outstanding,208.8M
Short Interest,0.0166
Today's Open,70.59
Volume,1501178.0
Volume 10-day Avg,958432.0
Volume Past Day,(Heavy Day)
