,CARA
% Below High,0.19870000000000002
% Held by Institutions,0.6534
52-Wk Range,['7.40 - 13.97']
Annual Dividend $,
Annual Dividend %,
Ask,11.19
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,10.76
Bid Size,400.0
Closing Price,11.19
Day Change $,0.12
Day Change %,0.0108
Day High,11.21
Day Low,10.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.66
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),713.0
Last (time),12:59p ET 11/25/22
Market Cap,601.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.07
Shares Outstanding,53.7M
Short Interest,0.1367
Today's Open,10.93
Volume,119583.0
Volume 10-day Avg,297373.0
Volume Past Day,(Light)
