,CARA
Price/Earnings (TTM),
Price/Sales (TTM),15.25044
Price/Book (MRQ),3.25332
Price/Cash Flow (TTM),
5yr Low,7.4
5yr High,29.65
5yr Avg Return,-0.0061000000000000065
EPS Growth 5yr,
Revenue Growth 5yr,2.058803
Dividend Growth 5yr,
Short Int Current Month,6160643.0
Short Int Prev Month,6267058.0
Short Int Pct of Float,0.1367445
Days to Cover,14.8231
Float,45.04143
Shares Outstanding,53.73361
Institutions Holding Shares,229.0
% Held by Institutions,0.653361
FCF Growth 5yr,0.14636985705143482
