,CTLT
% Above Low,0.0172
% Held by Institutions,1.0169
52-Wk Range,['40.69 - 136.13']
Annual Dividend $,
Annual Dividend %,
Ask,42.2
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,1.2
Bid,40.87
Bid Size,1000.0
Closing Price,41.39
Day Change $,-0.79
Day Change %,-0.0187
Day High,42.0
Day Low,41.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.34
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
"P/E Ratio (TTM, GAAP)",17.71
Prev Close,42.18
Shares Outstanding,180.0M
Short Interest,0.020499999999999997
Today's Open,41.88
Volume,760715.0
Volume 10-day Avg,2746817.0
Volume Past Day,(Light)
