,CTLT
Price/Earnings (TTM),17.70635
Price/Sales (TTM),1.54377
Price/Book (MRQ),1.58515
Price/Cash Flow (TTM),9.11713
5yr Low,29.23
5yr High,142.64
5yr Avg Return,0.16690000000000002
EPS Growth 5yr,0.2667469
Revenue Growth 5yr,0.18394929999999998
Dividend Growth 5yr,
Short Int Current Month,3581957.0
Short Int Prev Month,4057719.0
Short Int Pct of Float,0.0204914
Days to Cover,0.71054
Float,179.306
Shares Outstanding,179.9636
Institutions Holding Shares,778.0
% Held by Institutions,1.016865
FCF Growth 5yr,1.1103005926535339
