,BYD
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.12500000000000022
Growth 1yr High Est,0.16274509803921577
Growth 1yr Consensus Est,0.143872549019608
Growth 2yr Low Est,0.0023148148148148806
Growth 2yr High Est,0.08896108190325036
Growth 2yr Consensus Est,0.04563794835903262
Growth 5yr Low Est,0.47404897367246773
Growth 5yr High Est,0.47629872276980695
Growth 5yr Consensus Est,0.4751738482211373
Growth 5yr Actual/Est,-9.037709417467763
Growth 3yr Historic,-9.054283054003724
