,BYD
% Below High,0.17129999999999998
% Held by Institutions,0.6812
52-Wk Range,['46.10 - 72.72']
Annual Dividend $,0.6
Annual Dividend %,0.01
Ask,66.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,56.1
Bid Size,100.0
Closing Price,60.26
Day Change $,0.53
Day Change %,0.0089
Day High,60.49
Day Low,59.54
Dividend Pay Date,2022-10-15 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.41000000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.58
Prev Close,59.73
Shares Outstanding,104.4M
Short Interest,0.0626
Today's Open,59.77
Volume,273579.0
Volume 10-day Avg,852328.0
Volume Past Day,(Light)
