,BYD
Price/Earnings (TTM),11.58136
Price/Sales (TTM),1.79075
Price/Book (MRQ),4.08207
Price/Cash Flow (TTM),7.49551
5yr Low,6.44
5yr High,72.72
5yr Avg Return,0.17633333333333334
EPS Growth 5yr,0.1765487
Revenue Growth 5yr,0.0890951
Dividend Growth 5yr,
Short Int Current Month,4665657.0
Short Int Prev Month,4605370.0
Short Int Pct of Float,0.0625831
Days to Cover,5.04519
Float,74.50285
Shares Outstanding,104.3751
Institutions Holding Shares,419.0
% Held by Institutions,0.681166
FCF Growth 5yr,0.2314307630910228
