,ABC
Price/Earnings (TTM),20.864
Price/Sales (TTM),0.14229
Price/Book (MRQ),
Price/Cash Flow (TTM),14.28622
5yr Low,69.36
5yr High,167.29
5yr Avg Return,0.14291666666666666
EPS Growth 5yr,0.37361649999999996
Revenue Growth 5yr,0.09272140000000001
Dividend Growth 5yr,0.0473528
Short Int Current Month,5747431.0
Short Int Prev Month,5534119.0
Short Int Pct of Float,0.0354509
Days to Cover,2.15503
Float,162.2953
Shares Outstanding,202.4414
Institutions Holding Shares,1222.0
% Held by Institutions,0.6995600000000001
FCF Growth 5yr,0.43658647391681665
