,ABC
% Below High,0.0013
% Held by Institutions,0.6995999999999999
52-Wk Range,['113.68 - 167.92']
Annual Dividend $,1.94
Annual Dividend %,0.0116
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,153.0
Bid Size,
Closing Price,167.7
Day Change $,2.17
Day Change %,0.0131
Day High,167.92
Day Low,165.96
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",8.04
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.239
Last (size),178.0
Last (time),5:00p ET 11/25/22
Market Cap,33.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.86
Prev Close,165.53
Shares Outstanding,202.4M
Short Interest,0.0355
Today's Open,166.58
Volume,914962.0
Volume 10-day Avg,1814287.0
Volume Past Day,(Light)
