,MSFT
% Above Low,0.15960000000000002
% Held by Institutions,0.7009000000000001
52-Wk Range,['213.43 - 344.30']
Annual Dividend $,2.72
Annual Dividend %,0.011000000000000001
Ask,245.79
Ask Size,100.0
Ask close,262.85
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,245.51
Bid Size,100.0
Bid close,247.43
Change Since Close,-1.84| |(-0.74%)
Closing Price,247.49
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",9.28
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35000000000000003
Last (size),8.0
Last (time),1:00p ET 11/25/22
Last Trade,245.65
Market Cap,1.8T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.67
Prev Close,247.49
Shares Outstanding,7.5B
Short Interest,0.0046
Today's Open,
Volume,21087.0
Volume 10-day Avg,26636518.0
Volume Past Day,(Light)
