,MSFT
Price/Earnings (TTM),26.66797
Price/Sales (TTM),9.08486
Price/Book (MRQ),10.63303
Price/Cash Flow (TTM),22.00851
5yr Low,80.7
5yr High,349.67
5yr Avg Return,0.2372166666666667
EPS Growth 5yr,0.2427448
Revenue Growth 5yr,0.1547343
Dividend Growth 5yr,0.09603590000000001
Short Int Current Month,34590231.0
Short Int Prev Month,36909448.0
Short Int Pct of Float,0.0046438
Days to Cover,1.01466
Float,7449.03
Shares Outstanding,7454.473
Institutions Holding Shares,5914.0
% Held by Institutions,0.700851
FCF Growth 5yr,0.1224751492422016
