,ABNB
Price/Earnings (TTM),40.75051
Price/Sales (TTM),7.70176
Price/Book (MRQ),11.32294
Price/Cash Flow (TTM),35.79394
5yr Low,86.71
5yr High,219.94
5yr Avg Return,-0.1003
EPS Growth 5yr,
Revenue Growth 5yr,0.29336490000000004
Dividend Growth 5yr,
Short Int Current Month,16760488.0
Short Int Prev Month,17012122.0
Short Int Pct of Float,0.0427758
Days to Cover,1.6855
Float,383.2214
Shares Outstanding,633.1772
Institutions Holding Shares,1270.0
% Held by Institutions,0.621856
FCF Growth 5yr,0.2329360550312586
