,ABNB
% Above Low,0.1264
% Held by Institutions,0.6219
52-Wk Range,['86.71 - 191.73']
Annual Dividend $,
Annual Dividend %,
Ask,97.64
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,
Bid,97.5
Bid Size,300.0
Closing Price,97.67
Day Change $,1.04
Day Change %,0.0108
Day High,98.83
Day Low,96.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.4
Ex-dividend Date,No dividend
Historical Volatility,0.619
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,61.8B
"P/E Ratio (TTM, GAAP)",40.75
Prev Close,96.63
Shares Outstanding,633.2M
Short Interest,0.042800000000000005
Today's Open,96.97
Volume,2245116.0
Volume 10-day Avg,5179316.0
Volume Past Day,(Light)
