,LH
% Above Low,0.2049
% Held by Institutions,0.9145
52-Wk Range,['200.32 - 317.17']
Annual Dividend $,2.88
Annual Dividend %,0.011899999999999999
Ask,270.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,205.28
Bid Size,100.0
Closing Price,241.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",18.73
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.3
Last (size),535.0
Last (time),5:00p ET 11/25/22
Market Cap,21.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.89
Prev Close,241.37
Shares Outstanding,88.6M
Short Interest,0.0175
Today's Open,
Volume,211058.0
Volume 10-day Avg,797071.0
Volume Past Day,(Light)
