,LH
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2742175856929955
Growth 1yr High Est,-0.29465221950367004
Growth 1yr Consensus Est,-0.28443490259833276
Growth 2yr Low Est,-0.20230386471508088
Growth 2yr High Est,-0.18647378071318282
Growth 2yr Consensus Est,-0.19438882271413185
Growth 5yr Low Est,0.2474207705862597
Growth 5yr High Est,0.2902883532217966
Growth 5yr Consensus Est,0.2688545619040281
Growth 5yr Actual/Est,0.22268089015182016
Growth 3yr Historic,0.32653815044088425
