,INSP
% Below High,0.1535
% Held by Institutions,0.9769
52-Wk Range,['142.74 - 272.04']
Annual Dividend $,
Annual Dividend %,
Ask,231.13
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.5
Bid,188.74
Bid Size,100.0
Closing Price,230.28
Day Change $,3.02
Day Change %,0.013300000000000001
Day High,231.64
Day Low,227.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.82
Ex-dividend Date,No dividend
Historical Volatility,0.5710000000000001
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,227.26
Shares Outstanding,28.9M
Short Interest,0.0433
Today's Open,227.35
Volume,73934.0
Volume 10-day Avg,314373.0
Volume Past Day,(Light)
