,INSP
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.6730769230769229
Growth 1yr High Est,0.5661764705882351
Growth 1yr Consensus Est,0.619626696832579
Growth 2yr Low Est,0.4399867374005304
Growth 2yr High Est,0.13754832919083115
Growth 2yr Consensus Est,0.2887675332956808
Growth 5yr Low Est,0.2199933687002652
Growth 5yr High Est,0.06877416459541558
Growth 5yr Consensus Est,0.1443837666478404
Growth 5yr Actual/Est,0.21377257160647573
Growth 3yr Historic,0.06687051532941946
