,INSP
Price/Earnings (TTM),
Price/Sales (TTM),19.09936
Price/Book (MRQ),14.11478
Price/Cash Flow (TTM),
5yr Low,22.5
5yr High,286.29
5yr Avg Return,0.6562399999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.7002246
Dividend Growth 5yr,
Short Int Current Month,1222599.0
Short Int Prev Month,1209540.0
Short Int Pct of Float,0.0432674
Days to Cover,2.91997
Float,28.32931
Shares Outstanding,28.89239
Institutions Holding Shares,395.0
% Held by Institutions,0.976937
FCF Growth 5yr,-0.08656399987126573
