,FCF
% Above Low,0.152
% Held by Institutions,0.6986
52-Wk Range,['12.76 - 17.63']
Annual Dividend $,0.48
Annual Dividend %,0.0327
Ask,23.0
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,1.0
Bid,11.0
Bid Size,400.0
Closing Price,14.7
Day Change $,0.05
Day Change %,0.0034000000000000002
Day High,14.78
Day Low,14.63
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.254
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.89
Prev Close,14.65
Shares Outstanding,93.4M
Short Interest,0.0374
Today's Open,14.72
Volume,268675.0
Volume 10-day Avg,356542.0
Volume Past Day,(Light)
