,FCF
Price/Earnings (TTM),10.88913
Price/Sales (TTM),3.47574
Price/Book (MRQ),1.34234
Price/Cash Flow (TTM),9.9703
5yr Low,6.77
5yr High,17.91
5yr Avg Return,0.028750000000000005
EPS Growth 5yr,0.1655374
Revenue Growth 5yr,0.0619015
Dividend Growth 5yr,0.10197229999999999
Short Int Current Month,3427725.0
Short Int Prev Month,2743229.0
Short Int Pct of Float,0.0373835
Days to Cover,8.3893
Float,91.78985
Shares Outstanding,93.37631
Institutions Holding Shares,281.0
% Held by Institutions,0.698573
FCF Growth 5yr,0.34798267188204296
