,BCYC
% Above Low,1.3195
% Held by Institutions,0.9024
52-Wk Range,['12.08 - 61.50']
Annual Dividend $,
Annual Dividend %,
Ask,34.15
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.8
Bid,27.2
Bid Size,100.0
Closing Price,28.02
Day Change $,0.84
Day Change %,0.030899999999999997
Day High,28.29
Day Low,26.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.41
Ex-dividend Date,No dividend
Historical Volatility,0.8320000000000001
Last (size),144.0
Last (time),1:00p ET 11/25/22
Market Cap,831.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,27.18
Shares Outstanding,29.7M
Short Interest,0.09539999999999998
Today's Open,26.92
Volume,61933.0
Volume 10-day Avg,210118.0
Volume Past Day,(Light)
