,BCYC
Price/Earnings (TTM),
Price/Sales (TTM),55.27935
Price/Book (MRQ),2.87276
Price/Cash Flow (TTM),
5yr Low,6.24
5yr High,62.08
5yr Avg Return,0.5943999999999999
Short Int Current Month,2550610.0
Short Int Prev Month,2790015.0
Short Int Pct of Float,0.0953992
Days to Cover,8.17412
Float,4.33333
Shares Outstanding,29.68947
Institutions Holding Shares,105.0
% Held by Institutions,0.9023869999999999
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
