,SNBR
Price/Earnings (TTM),12.97109
Price/Sales (TTM),0.31352
Price/Book (MRQ),
Price/Cash Flow (TTM),5.59658
5yr Low,15.27
5yr High,151.44
5yr Avg Return,0.0771
EPS Growth 5yr,0.4124545
Revenue Growth 5yr,0.10751200000000001
Dividend Growth 5yr,
Short Int Current Month,3069067.0
Short Int Prev Month,3138538.0
Short Int Pct of Float,0.1466595
Days to Cover,4.79459
Float,20.95945
Shares Outstanding,22.001
Institutions Holding Shares,257.0
% Held by Institutions,1.0396320000000001
FCF Growth 5yr,-2.679496675261579
