,SNBR
% Above Low,0.1996
% Held by Institutions,1.0395999999999999
52-Wk Range,['24.04 - 83.81']
Annual Dividend $,
Annual Dividend %,
Ask,28.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,28.84
Bid Size,100.0
Day Change $,-1.21
Day Change %,-0.0403
Day High,29.95
Day Low,28.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.662
Last (size),100.0
Last (time),2:44p ET 11/28/22
Market Cap,635.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.97
Prev Close,30.05
Price,28.84
Shares Outstanding,22.0M
Short Interest,0.1467
Today's Open,29.58
Volume Past Day,(Light)
