,SNBR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.3846153846153846
Growth 1yr High Est,-0.3258426966292135
Growth 1yr Consensus Est,-0.35522904062229904
Growth 2yr Low Est,-0.2704326923076923
Growth 2yr High Est,0.15652309612983767
Growth 2yr Consensus Est,-0.05695479808892731
Growth 5yr Low Est,-0.13521634615384615
Growth 5yr High Est,0.07826154806491883
Growth 5yr Consensus Est,-0.028477399044463655
Growth 5yr Actual/Est,0.14002034758613707
Growth 3yr Historic,0.267989417989418
