,IFF
Price/Earnings (TTM),
Price/Sales (TTM),2.04685
Price/Book (MRQ),1.53042
Price/Cash Flow (TTM),
5yr Low,83.14
5yr High,157.4
5yr Avg Return,-0.046533333333333336
EPS Growth 5yr,-0.2624015
Revenue Growth 5yr,0.3019091
Dividend Growth 5yr,0.05968
Short Int Current Month,3290657.0
Short Int Prev Month,3363253.0
Short Int Pct of Float,0.0129367
Days to Cover,1.73761
Float,254.3836
Shares Outstanding,254.9622
Institutions Holding Shares,1058.0
% Held by Institutions,0.908254
FCF Growth 5yr,-0.07297330131778283
