,EEFT
Price/Earnings (TTM),30.1363
Price/Sales (TTM),1.3645
Price/Book (MRQ),4.38718
Price/Cash Flow (TTM),15.20526
5yr Low,61.27
5yr High,171.25
5yr Avg Return,0.03555
EPS Growth 5yr,-0.1637
Revenue Growth 5yr,0.0886854
Dividend Growth 5yr,
Short Int Current Month,1583076.0
Short Int Prev Month,1407162.0
Short Int Pct of Float,0.0349932
Days to Cover,3.87651
Float,47.04078
Shares Outstanding,49.59388
Institutions Holding Shares,425.0
% Held by Institutions,0.960972
FCF Growth 5yr,-2.0960585567517422
