,EEFT
% Above Low,0.2698
% Held by Institutions,0.961
52-Wk Range,['71.60 - 149.92']
Annual Dividend $,
Annual Dividend %,
Ask,91.44
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,90.4
Bid Size,100.0
Closing Price,90.92
Day Change $,0.19
Day Change %,0.0021
Day High,91.75
Day Low,89.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.02
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.14
Prev Close,90.73
Shares Outstanding,49.6M
Short Interest,0.035
Today's Open,90.66
Volume,73083.0
Volume 10-day Avg,277662.0
Volume Past Day,(Light)
