,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,7.7,,,7.13,,8.01,,7.57,7.7,,
Year ending 12/2020,Positive Surprise,9.62,,0.2493506493506492,,0.0,,0.0,5.91,9.62,0.2493506493506492,0.0
Year ending 12/2021,Positive Surprise,17.5,,0.8191268191268193,,0.0,,0.0,14.72,17.5,0.8191268191268193,0.0
Year ending 12/2022,Neutral,,10.88,0.0,9.76,0.36886395511921455,11.46,0.43071161048689155,10.88,10.88,-0.3782857142857142,0.39978778280305305
Year ending 12/2023,Neutral,,10.4,0.0,8.31,-0.14856557377049173,13.45,0.17364746945898757,10.4,10.4,-0.044117647058823595,0.012540947844247918
